;Return_ann;Vol_ann;Sharpe;Semi_dev;Sortino;VaR_95_daily;MaxDD_signed;MaxDD_positive;Calmar
USDTRY;0,3178886172868389;0,1708127829372248;1,861035291507813;0,19065907888746095;1,667314345279497;0,0164374812197106;-0,34932369946378494;0,34932369946378494;0,9100115960491683
CHFJPY;0,09060043773662398;0,07928697455328222;1,1426900603419912;0,05576757716398064;1,624607744213448;0,007855876704737154;-0,08099928979781804;0,08099928979781804;1,1185337298977722
EURJPY;0,06599814830505224;0,08619038383851166;0,7657251930645527;0,05960962818232062;1,1071726215636144;0,008668808763464814;-0,10934424013415982;0,10934424013415982;0,6035813886865542
USDINR;0,03887911195032707;0,0540029729811531;0,7199439179745859;0,039163447873091936;0,9927397627582165;0,005441291966844436;-0,06799534387600199;0,06799534387600199;0,5717907982233017
USDJPY;0,06005205310702997;0,0933424295246024;0,6433521541369562;0,06913479092969423;0,8686227628589948;0,009433471024413075;-0,14749357189349166;0,14749357189349166;0,40715030720386153
USDPKR;0,09499830087545856;0,15051479141395402;0,6311559148641347;0,13227112058214313;0,7182089367456642;0,015218769120024143;-0,13818255414707695;0,13818255414707695;0,6874840421197129
CADJPY;0,048545166006327974;0,10106791235501607;0,4803222395235182;0,06987255421469746;0,6947673024398564;0,010279617205433519;-0,142107239005727;0,142107239005727;0,34160938137973096
USDKRW;0,039209021789811165;0,09236970944223306;0,42447921538967304;0,06764490811854264;0,5796300546539332;0,00941539206411051;-0,15375080734335808;0,15375080734335808;0,2550166888050813
NZDJPY;0,036029250306467524;0,10813369812165725;0,33319169631960927;0,07480400860609966;0,4816486573091169;0,011061412271476953;-0,18595449102683737;0,18595449102683737;0,1937530527362617
USDBRL;0,04632633338445514;0,16100866295609687;0,2877257194358989;0,1074549104762872;0,4311234654527797;0,016499245251638463;-0,21959093944628472;0,21959093944628472;0,21096650663852762
EURCAD;0,016479928882187224;0,06926206633431924;0,23793585369862763;0,04635255422982253;0,3555344285986356;0,007111264426659042;-0,18970481024456967;0,18970481024456967;0,08687143389216702
USDCLP;0,0295190032750861;0,16869195934712314;0,17498761286152265;0,11421373228844443;0,25845406400463705;0,017362053744910698;-0,25931880707553556;0,25931880707553556;0,11383286699482492
GBPCAD;0,012439581034733667;0,07309175924816441;0,17019129328243757;0,049570819992404896;0,25094563770862827;0,007524115163540675;-0,17893945577745132;0,17893945577745132;0,06951837972618453
EURAUD;0,0129622100729579;0,0843591618471686;0,15365503626554772;0,05604838607843837;0,23126821269782144;0,008689524866453826;-0,2408152607809389;0,2408152607809389;0,053826364786528885
USDHUF;0,018337441419662412;0,12435197187367025;0,1474640180076236;0,08082300682338146;0,226883929964822;0,012812091148677419;-0,267463944107747;0,267463944107747;0,06856042402588378
USDCAD;0,010340455768651367;0,0683405412383497;0,15130778277841261;0,047490716548037465;0,21773636028826526;0,007040142634877125;-0,16969007986533496;0,16969007986533496;0,06093730273954429
GBPAUD;0,008676546642491232;0,077540601506883;0,11189681887779845;0,05111987792448344;0,16972940849562695;0,008000019252898167;-0,191259735072575;0,191259735072575;0,0453652549461017
USDNOK;0,029601326502045843;0,26286307567733297;0,11261120043494342;0,21525612006112987;0,13751677068990867;0,02711936513230387;-0,34950299440871135;0,34950299440871135;0,08469548752257566
USDZAR;0,025168352775101422;0,22670801761588966;0,11101659764739351;0,188424082971328;0,13357290840009672;0,023390712390009585;-0,30291345160085215;0,30291345160085215;0,08308760354513955
EURUSD;0,005988750776588156;0,07471708942888448;0,08015235633995396;0,049202907920377445;0,12171538288508163;0,007718123971782486;-0,2224205967424956;0,2224205967424956;0,026925342635967974
USDHKD;0,00020417748571073256;0,006879634430630079;0,029678537103901424;0,005837208403580706;0,034978618475482975;0,0007120302416822652;-0,012813624752046083;0,012813624752046083;0,01593440495267582
GBPUSD;0,001966770032001082;0,08849809588791845;0,022223868347314137;0,06429923450135042;0,03058776744783448;0,009162017516212505;-0,24596113181150975;0,24596113181150975;0,007996263545852846
USDRUB;0,03595407700421467;1,6573084273338732;0,02169425823897747;1,6516451503516136;0,02176864503647198;0,17158105981246724;-0,9640197439020065;0,9640197439020065;0,03729599651007712
USDSEK;0,0005030120450583308;0,10973455851852018;0,004583898198063431;0,07056558357345952;0,007128291435933354;0,01136826422082668;-0,21900476564438387;0,21900476564438387;0,0022968086725341542
USDCNY;1,3813260249820807e-05;0,05310389916368744;0,0002601176272808672;0,04482391773068982;0,000308167178353605;0,00550236087482115;-0,119946410533495;0,119946410533495;0,00011516193096885927
AUDUSD;-0,006982800316432481;0,10661097823683231;-0,06549794807173094;0,07443278571392055;-0,0938135023357932;0,011074316808998822;-0,253445114030405;0,253445114030405;-0,027551528634301378
USDPLN;-0,007740598034957503;0,10912706995927067;-0,0709319698388907;0,06961903296164601;-0,11118508410224391;0,011338031400963029;-0,2850861537029949;0,2850861537029949;-0,027151785291620024
USDDKK;-0,006095415806974586;0,07466027964423497;-0,08164201682634945;0,050573484006643424;-0,12052592236227745;0,007760190608916198;-0,1886449039960546;0,1886449039960546;-0,03231158477041112
USDMXN;-0,011877440915549832;0,12793873138149142;-0,09283694458508686;0,07658202476339088;-0,15509437041194163;0,013303637288622654;-0,3560873344351503;0,3560873344351503;-0,03335541527864401
USDCZK;-0,013200206184639568;0,0989418732378639;-0,13341374842282655;0,0660454343997139;-0,19986553657517847;0,01030434677147122;-0,2133671303595594;0,2133671303595594;-0,06186616543229975
USDSGD;-0,0061339287858201;0,046201259140088616;-0,13276540293460787;0,030342846670165215;-0,20215403164039064;0,0048115324583717315;-0,12742566711934103;0,12742566711934103;-0,048137309574179776
USDILS;-0,0143615370936608;0,10049872827240068;-0,14290267489489036;0,06861825615820516;-0,20929615378958435;0,010470270379510045;-0,2301877705360568;0,2301877705360568;-0,062390530392713445
NZDUSD;-0,025107084228122713;0,10577239061747624;-0,23736897768456408;0,07202488932265512;-0,3485890011666479;0,011059347443040777;-0,25879509889134955;0,25879509889134955;-0,09701530027299114
USDCHF;-0,030949183548036167;0,0785075459616914;-0,394219220189842;0,058613922277114365;-0,52801761673131;0,00825745516835837;-0,22449722585668533;0,22449722585668533;-0,1378599821442494
